VARIABLE,LEVEL,LABEL,ORDER
CNC_CERT,3,Moderate concern,3
CNC_CERT,2,Of little concern,4
CNC_CERT,1,No concern,5
CNC_CERT,8,Not applicable,6
CNC_CHEM,5,Great concern,1
CNC_CHEM,4,Concern,2
CNC_CHEM,3,Moderate concern,3
CNC_CHEM,2,Of little concern,4
CNC_CHEM,1,No concern,5
CNC_CHEM,8,Not applicable,6
CNC_CLIM,5,Great concern,1
CNC_CLIM,4,Concern,2
CNC_CLIM,3,Moderate concern,3
CNC_CLIM,2,Of little concern,4
CNC_CLIM,1,No concern,5
CNC_CLIM,8,Not applicable,6
CNC_CONT,5,Great concern,1
CNC_CONT,4,Concern,2
CNC_CONT,3,Moderate concern,3
CNC_CONT,2,Of little concern,4
CNC_CONT,1,No concern,5
CNC_CONT,8,Not applicable,6
CNC_DEV,5,Great concern,1
CNC_DEV,4,Concern,2
CNC_DEV,3,Moderate concern,3
CNC_DEV,2,Of little concern,4
CNC_DEV,1,No concern,5
CNC_DEV,8,Not applicable,6
CNC_DUMP,5,Great concern,1
CNC_DUMP,4,Concern,2
CNC_DUMP,3,Moderate concern,3
CNC_DUMP,2,Of little concern,4
CNC_DUMP,1,No concern,5
CNC_DUMP,8,Not applicable,6
CNC_FIB,5,Great concern,1
CNC_FIB,4,Concern,2
CNC_FIB,3,Moderate concern,3
CNC_FIB,2,Of little concern,4
CNC_FIB,1,No concern,5
CNC_FIB,8,Not applicable,6
CNC_FIRE,5,Great concern,1
CNC_FIRE,4,Concern,2
CNC_FIRE,3,Moderate concern,3
CNC_FIRE,2,Of little concern,4
CNC_FIRE,1,No concern,5
CNC_FIRE,8,No applicable,6
CNC_FOR_PROD,5,Great concern,1
CNC_FOR_PROD,4,Concern,2
CNC_FOR_PROD,3,Moderate concern,3
CNC_FOR_PROD,2,Of little concern,4
CNC_FOR_PROD,1,No concern,5
CNC_FOR_PROD,8,Not applicable,6
CNC_GOVT,5,Great concern,1
CNC_GOVT,4,Concern,2
CNC_GOVT,3,Moderate concern,3
CNC_GOVT,2,Of little concern,4
CNC_GOVT,1,No concern,5
CNC_GOVT,8,Not applicable,6
CNC_HEIR,5,Great concern,1
CNC_HEIR,4,Concern,2
CNC_HEIR,3,Moderate concern,3
CNC_HEIR,2,Of little concern,4
CNC_HEIR,1,No concern,5
CNC_HEIR,8,Not applicable,6
CNC_INS,5,Great concern,1
CNC_INS,4,Concern,2
CNC_INS,3,Moderate concern,3
CNC_INS,2,Of little concern,4
CNC_INS,1,No concern,5
CNC_INS,8,No applicable,6
CNC_INV_PREF,5,Great concern,1
CNC_INV_PREF,4,Concern,2
CNC_INV_PREF,3,Moderate concern,3
CNC_INV_PREF,2,Of little concern,4
CNC_INV_PREF,1,No concern,5
CNC_INV_PREF,8,Not applicable,6
CNC_INVA,5,Great concern,1
CNC_INVA,4,Concern,2
CNC_INVA,3,Moderate concern,3
CNC_INVA,2,Of little concern,4
CNC_INVA,1,No concern,5
CNC_INVA,8,Not applicable,6
CNC_LEASE,5,Great concern,1
CNC_LEASE,4,Concern,2
CNC_LEASE,3,Moderate concern,3
CNC_LEASE,2,Of little concern,4
CNC_LEASE,1,No concern,5
CNC_LEASE,8,Not applicable,6
CNC_OHV,5,Great concern,1
CNC_OHV,4,Concern,2
CNC_OHV,3,Moderate concern,3
CNC_OHV,2,Of little concern,4
CNC_OHV,1,No concern,5
CNC_OHV,8,Not applicable,6
CNC_OTH,5,Great concern,1
CNC_OTH,4,Concern,2
CNC_OTH,3,Moderate concern,3
CNC_OTH,2,Of little concern,4
CNC_OTH,1,No concern,5
CNC_OTH,8,No applicable,6
CNC_ROAD,5,Great concern,1
CNC_ROAD,4,Concern,2
CNC_ROAD,3,Moderate concern,3
CNC_ROAD,2,Of little concern,4
CNC_ROAD,1,No concern,5
CNC_ROAD,8,Not applicable,6
CNC_SEED,5,Great concern,1
CNC_SEED,4,Concern,2
CNC_SEED,3,Moderate concern,3
CNC_SEED,2,Of little concern,4
CNC_SEED,1,No concern,5
CNC_SEED,8,Not applicable,6
CNC_STORM,5,Great concern,1
CNC_STORM,4,Concern,2
CNC_STORM,3,Moderate concern,3
CNC_STORM,2,Of little concern,4
CNC_STORM,1,Not concern,5
CNC_STORM,8,Not applicable,6
CNC_TAR,5,Great concern,1
CNC_TAR,4,Concern,2
