,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
1732,MAN_NATL,1,1,1,1
1737,MAN_OTH,0,,,1
1747,MANPLAN_PERC,NA,,,1
1749,MANPLAN_PERC_CAT,0,1,1,1
1754,MANPLAN_PERC_CAT,50,1,1,1
1759,MANPLAN_PERC_CAT,70,1,1,1
1764,MANPLAN_PERC_CAT,80,1,1,1
1769,MANPLAN_PERC_CAT,90,1,1,1
1774,MANPLAN_PERC_CAT,95,1,1,1
1779,MILLS,0,1,1,1
1784,MILLS,1,1,1,1
1819,OBJ_CARB,1,1,1,1
1824,OBJ_CARB,2,1,1,1
1829,OBJ_CARB,3,1,1,1
1834,OBJ_CARB,4,1,1,1
1839,OBJ_CARB,5,1,1,1
1844,OBJ_CARB,8,1,1,1
1939,OBJ_MIN,1,1,1,1
1944,OBJ_MIN,2,1,1,1
1949,OBJ_MIN,3,1,1,1
1954,OBJ_MIN,4,1,1,1
1959,OBJ_MIN,5,1,1,1
1964,OBJ_MIN,8,1,1,1
2029,OBJ_OIL,1,1,1,1
2034,OBJ_OIL,2,1,1,1
2039,OBJ_OIL,3,1,1,1
2044,OBJ_OIL,4,1,1,1
2049,OBJ_OIL,5,1,1,1
2054,OBJ_OIL,8,1,1,1
2059,OBJ_OTH,1,,,1
2064,OBJ_OTH,2,,,1
2069,OBJ_OTH,3,,,1
2074,OBJ_OTH,4,,,1
2079,OBJ_OTH,5,,,1
2084,OBJ_OTH,8,,,1
2209,REC_EMP,0,,,1
2214,REC_EMP,1,1,1,1
2219,REC_FEE,0,,,1
2224,REC_FEE,1,1,1,1
2229,REC_GENPOP,0,,,1
2234,REC_GENPOP,1,1,1,1
2239,REC_NEIGH,0,,,1
2244,REC_NEIGH,1,1,1,1
2249,REC_NOBODY,0,,,1
2254,REC_NOBODY,1,1,1,1
2259,REC_OTH,0,,,1
2264,REC_OTH,1,1,1,1
2269,REIT,0,1,1,1
2274,REIT,1,1,1,1
2279,RES_COOP,0,,,1
2284,RES_COOP,1,1,1,1
2289,RES_FUND,0,,,1
2294,RES_FUND,1,1,1,1
2299,RES_IN,0,,,1
2304,RES_IN,1,1,1,1
2309,REV,1,1,1,1
2314,REV,2,1,1,1
2319,REV,3,1,1,1
2324,REV,4,1,1,1
2329,REV,5,1,1,1
2334,SEED,0,1,1,1
2339,SEED,1,1,1,1
2344,SEED_NCON,NA,,,1
2346,SEED_NHW,NA,,,1
2348,SEED_OTHER,NA,,,1
2350,SEED_PCON,NA,,,1
2352,SEED_PHW,NA,,,1
2354,SEED_SCON,NA,,,1
2356,SEED_SHW,NA,,,1
2358,SEED_WCON,NA,,,1
2360,SEED_WHW,NA,,,1
2362,SILV_COMM,0,,,1
2367,SILV_COMM,1,1,1,1
2372,SILV_GROUP,0,,,1
2377,SILV_GROUP,1,1,1,1
2382,SILV_NAT,0,,,1
