,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
2669,NTFP_EDIB_NO,1,,,1
2674,NTFP_EDIB_PERS,0,,,1
2679,NTFP_EDIB_PERS,1,1,1,1
2684,NTFP_EDIB_SALE,0,,,1
2689,NTFP_EDIB_SALE,1,1,1,1
2694,NTFP_LAND_NO,0,,,1
2699,NTFP_LAND_NO,1,,,1
2704,NTFP_LAND_PERS,0,,,1
2709,NTFP_LAND_PERS,1,1,1,1
2714,NTFP_LAND_SALE,0,,,1
2719,NTFP_LAND_SALE,1,1,1,1
2724,NTFP_MEDI_NO,0,,,1
2729,NTFP_MEDI_NO,1,,,1
2734,NTFP_MEDI_PERS,0,,,1
2739,NTFP_MEDI_PERS,1,1,1,1
2744,NTFP_MEDI_SALE,0,,,1
2749,NTFP_MEDI_SALE,1,1,1,1
2754,NTFP_OTH_NO,0,,,1
2759,NTFP_OTH_NO,1,,,1
2764,NTFP_OTH_PERS,0,,,1
2769,NTFP_OTH_PERS,1,1,1,1
2774,NTFP_OTH_SALE,0,,,1
2779,NTFP_OTH_SALE,1,1,1,1
2814,OBJ_CAB,1,1,1,1
2819,OBJ_CAB,2,1,1,1
2824,OBJ_CAB,3,1,1,1
2829,OBJ_CAB,4,1,1,1
2834,OBJ_CAB,5,1,1,1
2839,OBJ_CAB,8,1,1,1
2904,OBJ_FAR,1,1,1,1
2909,OBJ_FAR,2,1,1,1
2914,OBJ_FAR,3,1,1,1
2919,OBJ_FAR,4,1,1,1
2924,OBJ_FAR,5,1,1,1
2929,OBJ_FAR,8,1,1,1
2964,OBJ_HOM,1,1,1,1
2969,OBJ_HOM,2,1,1,1
2974,OBJ_HOM,3,1,1,1
2979,OBJ_HOM,4,1,1,1
2984,OBJ_HOM,5,1,1,1
2989,OBJ_HOM,8,1,1,1
3114,OBJ_OTH,1,,,1
3119,OBJ_OTH,2,,,1
3124,OBJ_OTH,3,,,1
3129,OBJ_OTH,4,,,1
3134,OBJ_OTH,5,,,1
3139,OBJ_OTH,8,,,1
3321,OWN1_EDU,-2,,,1
3356,OWN1_ETH,-2,,,1
3371,OWN1_GENDER,-2,,,1
3386,OWN1_RACE_ASIAN,-2,,,1
3391,OWN1_RACE_ASIAN,0,,,1
3401,OWN1_RACE_BLACK,-2,,,1
3406,OWN1_RACE_BLACK,0,,,1
3416,OWN1_RACE_HAWAIIAN,-2,,,1
3421,OWN1_RACE_HAWAIIAN,0,,,1
3431,OWN1_RACE_INDIAN,-2,,,1
3436,OWN1_RACE_INDIAN,0,,,1
3446,OWN1_RACE_WHITE,-2,,,1
3451,OWN1_RACE_WHITE,0,,,1
3461,OWN1_RET,-2,,,1
3466,OWN1_RET,0,1,1,1
3471,OWN1_RET,1,1,1,1
3476,OWN1_SOC_NWOS,-2,,,1
3481,OWN1_SOC_NWOS,0,,,1
3486,OWN1_SOC_NWOS,1,,,1
3491,OWN1_SOC_NWOS,10,,,1
3496,OWN1_SOC_NWOS,11,,,1
3501,OWN1_SOC_NWOS,12,,,1
3506,OWN1_SOC_NWOS,13,,,1
3511,OWN1_SOC_NWOS,2,,,1
3516,OWN1_SOC_NWOS,3,,,1
3521,OWN1_SOC_NWOS,4,,,1
3526,OWN1_SOC_NWOS,5,,,1
3531,OWN1_SOC_NWOS,6,,,1
3536,OWN1_SOC_NWOS,7,,,1
3541,OWN1_SOC_NWOS,8,,,1
3546,OWN1_SOC_NWOS,9,,,1
3551,OWN1_SOC_NWOS,99,,,1
3556,OWN2_AGE,,,,1
3558,OWN2_AGE_CAT,-2,,,1
3563,OWN2_AGE_CAT,16,,,1
3568,OWN2_AGE_CAT,18,,,1
3573,OWN2_AGE_CAT,45,,,1
3578,OWN2_AGE_CAT,55,,,1
3583,OWN2_AGE_CAT,65,,,1
3588,OWN2_AGE_CAT,75,,,1
3593,OWN2_EDU,-2,,,1
3598,OWN2_EDU,1,,,1
3603,OWN2_EDU,2,,,1
3608,OWN2_EDU,3,,,1
3613,OWN2_EDU,4,,,1
3618,OWN2_EDU,5,,,1
3623,OWN2_EDU,6,,,1
3628,OWN2_ETH,-2,,,1
3633,OWN2_ETH,0,,,1
3638,OWN2_ETH,1,,,1
3643,OWN2_GENDER,-2,,,1
3648,OWN2_GENDER,1,,,1
3653,OWN2_GENDER,2,,,1
3658,OWN2_RACE_ASIAN,-2,,,1
3663,OWN2_RACE_ASIAN,0,,,1
3668,OWN2_RACE_ASIAN,1,,,1
3673,OWN2_RACE_BLACK,-2,,,1
3678,OWN2_RACE_BLACK,0,,,1
